case_id,symbol,period,variant,experiment_status,claim_id,section_name,claim_type,confidence,baseline_is_grounded,rule_aware_is_grounded,status_transition,rule_branch,review_root_cause_primary
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0001,financial_analysis,direct_factual_extraction,0.8,True,True,unchanged,direct_confidence_branch,none
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0002,financial_analysis,direct_factual_extraction,0.78,True,True,unchanged,direct_confidence_branch,none
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0003,financial_analysis,direct_factual_extraction,0.76,True,True,unchanged,direct_confidence_branch,near_threshold_boundary
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0004,financial_analysis,direct_factual_extraction,0.74,False,True,false_negative_to_pass,direct_supported_branch,threshold_too_strict
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0005,financial_analysis,direct_factual_extraction,0.73,False,True,false_negative_to_pass,direct_supported_branch,threshold_too_strict
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0006,financial_analysis,direct_factual_extraction,0.72,False,True,false_negative_to_pass,direct_supported_branch,threshold_too_strict
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0007,financial_analysis,direct_factual_extraction,0.75,True,True,unchanged,direct_confidence_branch,near_threshold_boundary
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0008,business_overview,derived_aggregated,0.75,True,True,unchanged,derived_strict_branch,requires_manual_semantic_review
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0009,valuation,derived_aggregated,0.72,False,False,unchanged,derived_strict_branch,requires_manual_semantic_review
AAPL:2025Q4:bm25_real_writer,AAPL,2025Q4,bm25_real_writer,ok,cl_0010,risks,derived_aggregated,0.7,False,False,unchanged,derived_strict_branch,requires_manual_semantic_review
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0001,financial_analysis,,0.8,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0002,financial_analysis,,0.78,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0003,financial_analysis,,0.76,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0004,financial_analysis,,0.74,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0005,financial_analysis,,0.73,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0006,financial_analysis,,0.72,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0007,financial_analysis,,0.75,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0008,business_overview,,0.75,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0009,valuation,,0.72,,,insufficient_review_data,,
AAPL:2025Q4:bm25_template,AAPL,2025Q4,bm25_template,insufficient_review_data,cl_0010,risks,,0.7,,,insufficient_review_data,,
AAPL:2025Q4:reranker_template,AAPL,2025Q4,reranker_template,insufficient_review_data,cl_0001,financial_analysis,,0.8,,,insufficient_review_data,,
AAPL:2025Q4:reranker_template,AAPL,2025Q4,reranker_template,insufficient_review_data,cl_0002,financial_analysis,,0.78,,,insufficient_review_data,,
AAPL:2025Q4:reranker_template,AAPL,2025Q4,reranker_template,insufficient_review_data,cl_0003,financial_analysis,,0.76,,,insufficient_review_data,,
AAPL:2025Q4:reranker_template,AAPL,2025Q4,reranker_template,insufficient_review_data,cl_0004,financial_analysis,,0.74,,,insufficient_review_data,,
