variant,case_id,market,category,detail
multi_agent_rag,formal18_hk_sensetime,HK,citation_or_evidence_gap,
multi_agent_rag,formal18_hk_4paradigm,HK,citation_or_evidence_gap,
multi_agent_rag,formal18_hk_tencent,HK,citation_or_evidence_gap,
multi_agent_rag,formal18_hk_tencent,HK,delivery_requirement_failed,
multi_agent_rag,formal18_hk_baidu,HK,citation_or_evidence_gap,
multi_agent_rag,formal18_hk_baidu,HK,delivery_requirement_failed,
multi_agent_rag,formal18_cna_moutai,CN-A,citation_or_evidence_gap,
multi_agent_rag,formal18_cna_catl,CN-A,citation_or_evidence_gap,
multi_agent_rag,formal18_cna_catl,CN-A,delivery_requirement_failed,
multi_agent_rag,formal18_cna_byd,CN-A,citation_or_evidence_gap,
multi_agent_rag,formal18_cna_pingan,CN-A,delivery_requirement_failed,
multi_agent_rag,formal18_cna_cmb,CN-A,citation_or_evidence_gap,
multi_agent_rag,formal18_cna_cmb,CN-A,delivery_requirement_failed,
multi_agent_rag,formal18_cna_smic,CN-A,citation_or_evidence_gap,
direct_llm,formal18_us_aapl,US,citation_or_evidence_gap,
direct_llm,formal18_us_aapl,US,delivery_requirement_failed,
single_agent_rag,formal18_us_aapl,US,citation_or_evidence_gap,
single_agent_rag,formal18_us_aapl,US,delivery_requirement_failed,
direct_llm,formal18_us_msft,US,citation_or_evidence_gap,
direct_llm,formal18_us_msft,US,delivery_requirement_failed,
single_agent_rag,formal18_us_msft,US,citation_or_evidence_gap,
direct_llm,formal18_us_googl,US,citation_or_evidence_gap,
direct_llm,formal18_us_googl,US,delivery_requirement_failed,
single_agent_rag,formal18_us_googl,US,delivery_requirement_failed,
direct_llm,formal18_us_nvda,US,citation_or_evidence_gap,
direct_llm,formal18_us_nvda,US,delivery_requirement_failed,
single_agent_rag,formal18_us_nvda,US,citation_or_evidence_gap,
single_agent_rag,formal18_us_nvda,US,delivery_requirement_failed,
direct_llm,formal18_us_amd,US,citation_or_evidence_gap,
direct_llm,formal18_us_amd,US,delivery_requirement_failed,
single_agent_rag,formal18_us_amd,US,citation_or_evidence_gap,
single_agent_rag,formal18_us_amd,US,delivery_requirement_failed,
direct_llm,formal18_us_tsla,US,delivery_requirement_failed,
single_agent_rag,formal18_us_tsla,US,citation_or_evidence_gap,
single_agent_rag,formal18_us_tsla,US,delivery_requirement_failed,
direct_llm,formal18_hk_sensetime,HK,citation_or_evidence_gap,
single_agent_rag,formal18_hk_sensetime,HK,citation_or_evidence_gap,
single_agent_rag,formal18_hk_sensetime,HK,delivery_requirement_failed,
direct_llm,formal18_hk_4paradigm,HK,citation_or_evidence_gap,
direct_llm,formal18_hk_4paradigm,HK,delivery_requirement_failed,
single_agent_rag,formal18_hk_4paradigm,HK,citation_or_evidence_gap,
single_agent_rag,formal18_hk_4paradigm,HK,delivery_requirement_failed,
direct_llm,formal18_hk_tencent,HK,citation_or_evidence_gap,
direct_llm,formal18_hk_tencent,HK,delivery_requirement_failed,
single_agent_rag,formal18_hk_tencent,HK,delivery_requirement_failed,
direct_llm,formal18_hk_xiaomi,HK,citation_or_evidence_gap,
direct_llm,formal18_hk_xiaomi,HK,delivery_requirement_failed,
single_agent_rag,formal18_hk_xiaomi,HK,citation_or_evidence_gap,
direct_llm,formal18_hk_meituan,HK,delivery_requirement_failed,
single_agent_rag,formal18_hk_meituan,HK,citation_or_evidence_gap,
single_agent_rag,formal18_hk_meituan,HK,delivery_requirement_failed,
single_agent_rag,formal18_hk_baidu,HK,citation_or_evidence_gap,
single_agent_rag,formal18_hk_baidu,HK,delivery_requirement_failed,
direct_llm,formal18_cna_moutai,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_moutai,CN-A,delivery_requirement_failed,
single_agent_rag,formal18_cna_moutai,CN-A,citation_or_evidence_gap,
single_agent_rag,formal18_cna_moutai,CN-A,delivery_requirement_failed,
direct_llm,formal18_cna_catl,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_catl,CN-A,delivery_requirement_failed,
single_agent_rag,formal18_cna_catl,CN-A,citation_or_evidence_gap,
single_agent_rag,formal18_cna_catl,CN-A,delivery_requirement_failed,
direct_llm,formal18_cna_byd,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_byd,CN-A,delivery_requirement_failed,
single_agent_rag,formal18_cna_byd,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_pingan,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_pingan,CN-A,delivery_requirement_failed,
single_agent_rag,formal18_cna_pingan,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_cmb,CN-A,citation_or_evidence_gap,
single_agent_rag,formal18_cna_cmb,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_smic,CN-A,citation_or_evidence_gap,
direct_llm,formal18_cna_smic,CN-A,delivery_requirement_failed,
single_agent_rag,formal18_cna_smic,CN-A,citation_or_evidence_gap,
single_agent_rag,formal18_cna_smic,CN-A,delivery_requirement_failed,
