case_id,claim_id,claim_text,claim_type_guess,confidence,root_cause_primary,root_cause_secondary,failure_stage,evidence_issue_type,numeric_issue_type,verifier_issue_type,is_systematic,fix_owner,proposed_fix,confidence_after_review,reviewer,review_date,notes
AAPL:2025Q4:bm25_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:reranker_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_real_writer,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:bm25_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
MSFT:2025Q4:reranker_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_real_writer,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:bm25_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
NVDA:2025Q4:reranker_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_real_writer,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:bm25_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
TSLA:2025Q4:reranker_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:bm25_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
AAPL:2025Q4:reranker_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
GOOGL:2025Q4:bm25_real_writer,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,,,verification,,,,,evaluation,,,,,
