case_id,claim_id,claim_text,claim_type_guess,confidence,evidence_ids,priority,recommended_review_action
AAPL:2025Q4:bm25_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:reranker_template,cl_0006,AAPL return on assets (ROA) is around 29.7%.,direct_factual_extraction,0.72,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_real_writer,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:reranker_template,cl_0006,GOOGL return on assets (ROA) is around 15.4%.,direct_factual_extraction,0.72,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_real_writer,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:reranker_template,cl_0006,MSFT return on assets (ROA) is around 18.2%.,direct_factual_extraction,0.72,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_real_writer,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:reranker_template,cl_0006,NVDA return on assets (ROA) is around 44.1%.,direct_factual_extraction,0.72,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_real_writer,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:reranker_template,cl_0006,TSLA return on assets (ROA) is around 8.6%.,direct_factual_extraction,0.72,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:bm25_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:reranker_template,cl_0005,AAPL return on equity (ROE) is around 132.4%.,direct_factual_extraction,0.73,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_real_writer,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_template,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:reranker_template,cl_0005,GOOGL return on equity (ROE) is around 33.1%.,direct_factual_extraction,0.73,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_real_writer,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_template,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:reranker_template,cl_0005,MSFT return on equity (ROE) is around 41.7%.,direct_factual_extraction,0.73,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_real_writer,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_template,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:reranker_template,cl_0005,NVDA return on equity (ROE) is around 96.2%.,direct_factual_extraction,0.73,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_real_writer,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_template,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:reranker_template,cl_0005,TSLA return on equity (ROE) is around 15.2%.,direct_factual_extraction,0.73,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:bm25_template,cl_0004,AAPL net margin is approximately 24.6%.,direct_factual_extraction,0.74,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:reranker_template,cl_0004,AAPL net margin is approximately 24.6%.,direct_factual_extraction,0.74,"[""57867d7a18d8f858""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_real_writer,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:bm25_template,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
GOOGL:2025Q4:reranker_template,cl_0004,GOOGL net margin is approximately 28.9%.,direct_factual_extraction,0.74,"[""a51cd0bede664576""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_real_writer,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:bm25_template,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
MSFT:2025Q4:reranker_template,cl_0004,MSFT net margin is approximately 36.4%.,direct_factual_extraction,0.74,"[""8ddc653c96d1e8f2""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_real_writer,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:bm25_template,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
NVDA:2025Q4:reranker_template,cl_0004,NVDA net margin is approximately 52.4%.,direct_factual_extraction,0.74,"[""146fa48b0d7d49b0""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_real_writer,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:bm25_template,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
TSLA:2025Q4:reranker_template,cl_0004,TSLA net margin is approximately 7.8%.,direct_factual_extraction,0.74,"[""cc9c349d70f324e4""]",P0,核对高信任证据是否直接支撑并优先回填阈值误杀标签
AAPL:2025Q4:bm25_template,cl_0010,AAPL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,"[""2df4aaa2d036460b"", ""325dacc7e125bcea"", ""51e2d60dd503ed55"", ""57867d7a18d8f858"", ""6a0352640594b75d"", ""c9d82f339472b002""]",P1,按 derived 口径做人工语义复核，避免直接放宽规则
AAPL:2025Q4:reranker_template,cl_0010,AAPL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,"[""2df4aaa2d036460b"", ""325dacc7e125bcea"", ""51e2d60dd503ed55"", ""57867d7a18d8f858"", ""6a0352640594b75d"", ""c9d82f339472b002""]",P1,按 derived 口径做人工语义复核，避免直接放宽规则
GOOGL:2025Q4:bm25_real_writer,cl_0010,GOOGL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,"[""5a3c0aaf866a2f5e"", ""8a58c73d140c74ea"", ""954083df0399847f"", ""a51cd0bede664576"", ""b34424bc97499a34"", ""b517b1534a0547bd""]",P1,按 derived 口径做人工语义复核，避免直接放宽规则
GOOGL:2025Q4:bm25_template,cl_0010,GOOGL has a low risk signal level with ratio 0.00.,derived_aggregated,0.7,"[""5a3c0aaf866a2f5e"", ""8a58c73d140c74ea"", ""954083df0399847f"", ""a51cd0bede664576"", ""b34424bc97499a34"", ""b517b1534a0547bd""]",P1,按 derived 口径做人工语义复核，避免直接放宽规则
